"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"T_cell_regulatory_Peng_et_al","ENSG00000049768.17","protein_coding","FOXP3",NA,50943
"T_cell_regulatory_Peng_et_al","ENSG00000105855.10","protein_coding","ITGB8",NA,3696
"T_cell_regulatory_Peng_et_al","ENSG00000137507.11","protein_coding","LRRC32",NA,2615
"T_cell_regulatory_Peng_et_al","ENSG00000030419.17","protein_coding","IKZF2",NA,22807
"T_cell_regulatory_Peng_et_al","ENSG00000181195.11","protein_coding","PENK",NA,5179
"T_cell_regulatory_Peng_et_al","ENSG00000123901.9","protein_coding","GPR83",NA,10888
"T_cell_regulatory_Peng_et_al","ENSG00000116729.14","protein_coding","WLS",NA,79971
"T_cell_regulatory_Peng_et_al","ENSG00000118495.21","protein_coding","PLAGL1",NA,5325
"T_cell_regulatory_Peng_et_al","ENSG00000121594.12","protein_coding","CD80",NA,941
"T_cell_regulatory_Peng_et_al","ENSG00000135318.12","protein_coding","NT5E",NA,4907
"T_cell_regulatory_Peng_et_al","ENSG00000136634.7","protein_coding","IL10",NA,3586
"T_cell_regulatory_Peng_et_al","ENSG00000164142.16","protein_coding","FHIP1A",NA,729830
"T_cell_regulatory_Peng_et_al","ENSG00000143369.15","protein_coding","ECM1",NA,1893
"T_cell_regulatory_Peng_et_al","ENSG00000169245.6","protein_coding","CXCL10",NA,3627
"T_cell_regulatory_Peng_et_al","ENSG00000149177.14","protein_coding","PTPRJ",NA,5795
"T_cell_regulatory_Peng_et_al","ENSG00000115590.14","protein_coding","IL1R2",NA,7850
"T_cell_regulatory_Peng_et_al","ENSG00000106789.13","protein_coding","CORO2A",NA,7464
"T_cell_regulatory_Peng_et_al","ENSG00000137727.13","protein_coding","ARHGAP20",NA,57569
"T_cell_regulatory_Peng_et_al","ENSG00000112149.10","protein_coding","CD83",NA,9308
"T_cell_regulatory_Peng_et_al","ENSG00000154589.7","protein_coding","LY96",NA,23643
"T_cell_regulatory_Peng_et_al","ENSG00000123411.15","protein_coding","IKZF4",NA,64375
"T_cell_regulatory_Peng_et_al","ENSG00000164512.18","protein_coding","ANKRD55",NA,79722
"T_cell_regulatory_Peng_et_al","ENSG00000183091.21","protein_coding","NEB",NA,4703
"T_cell_regulatory_Peng_et_al","ENSG00000025039.15","protein_coding","RRAGD",NA,58528
"T_cell_regulatory_Peng_et_al","ENSG00000163519.14","protein_coding","TRAT1",NA,50852
"T_cell_regulatory_Peng_et_al","ENSG00000177409.12","protein_coding","SAMD9L",NA,219285
"T_cell_regulatory_Peng_et_al","ENSG00000006747.15","protein_coding","SCIN",NA,85477
"T_cell_regulatory_Peng_et_al","ENSG00000120949.15","protein_coding","TNFRSF8",NA,943
"T_cell_regulatory_Peng_et_al","ENSG00000135842.17","protein_coding","NIBAN1",NA,116496
"T_cell_regulatory_Peng_et_al","ENSG00000163606.11","protein_coding","CD200R1",NA,131450
"T_cell_regulatory_Peng_et_al","ENSG00000115604.12","protein_coding","IL18R1",NA,8809
"T_cell_regulatory_Peng_et_al","ENSG00000178573.7","protein_coding","MAF",NA,4094
"T_cell_regulatory_Peng_et_al","ENSG00000171136.7","protein_coding","RLN3",NA,117579
"T_cell_regulatory_Peng_et_al","ENSG00000112486.18","protein_coding","CCR6",NA,1235
"T_cell_regulatory_Peng_et_al","ENSG00000141469.18","protein_coding","SLC14A1",NA,6563
"T_cell_regulatory_Peng_et_al","ENSG00000168675.19","protein_coding","LDLRAD4",NA,753
"T_cell_regulatory_Peng_et_al","ENSG00000081913.14","protein_coding","PHLPP1",NA,23239
"T_cell_regulatory_Peng_et_al","ENSG00000083457.12","protein_coding","ITGAE",NA,3682
"T_cell_regulatory_Peng_et_al","ENSG00000179934.7","protein_coding","CCR8",NA,1237
"T_cell_regulatory_Peng_et_al","ENSG00000027697.16","protein_coding","IFNGR1",NA,3459
"T_cell_regulatory_Peng_et_al","ENSG00000065923.10","protein_coding","SLC9A7",NA,84679
"T_cell_regulatory_Peng_et_al","ENSG00000157483.9","protein_coding","MYO1E",NA,4643
"T_cell_regulatory_Peng_et_al","ENSG00000140265.14","protein_coding","ZSCAN29",NA,146050
"T_cell_regulatory_Peng_et_al","ENSG00000101745.17","protein_coding","ANKRD12",NA,23253
"T_cell_regulatory_Peng_et_al","ENSG00000203737.5","protein_coding","GPR52",NA,9293
"T_cell_regulatory_Peng_et_al","ENSG00000177606.8","protein_coding","JUN",NA,3725
"T_cell_regulatory_Peng_et_al","ENSG00000168234.13","protein_coding","TTC39C",NA,125488
"T_cell_regulatory_Peng_et_al","ENSG00000142089.17","protein_coding","IFITM3",NA,10410
"T_cell_regulatory_Peng_et_al","ENSG00000120875.9","protein_coding","DUSP4",NA,1846
"T_cell_regulatory_Peng_et_al","ENSG00000136514.3","protein_coding","RTP4",NA,64108
