"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Th1_cells_Bindea_et_al","ENSG00000111537.5","protein_coding","IFNG",NA,3458
"Th1_cells_Bindea_et_al","ENSG00000226979.9","protein_coding","LTA",NA,4049
"Th1_cells_Bindea_et_al","ENSG00000163697.17","protein_coding","APBB2",NA,323
"Th1_cells_Bindea_et_al","ENSG00000101134.12","protein_coding","DOK5",NA,55816
"Th1_cells_Bindea_et_al","ENSG00000081985.14","protein_coding","IL12RB2",NA,3595
"Th1_cells_Bindea_et_al","ENSG00000189058.9","protein_coding","APOD",NA,347
"Th1_cells_Bindea_et_al","ENSG00000011590.14","protein_coding","ZBTB32",NA,27033
"Th1_cells_Bindea_et_al","ENSG00000004468.13","protein_coding","CD38",NA,952
"Th1_cells_Bindea_et_al","ENSG00000164400.6","protein_coding","CSF2",NA,1437
"Th1_cells_Bindea_et_al","ENSG00000163599.18","protein_coding","CTLA4",NA,1493
"Th1_cells_Bindea_et_al","ENSG00000125726.11","protein_coding","CD70",NA,970
"Th1_cells_Bindea_et_al","ENSG00000197635.11","protein_coding","DPP4",NA,1803
"Th1_cells_Bindea_et_al","ENSG00000198759.12","protein_coding","EGFL6",NA,25975
"Th1_cells_Bindea_et_al","ENSG00000130303.14","protein_coding","BST2",NA,684
"Th1_cells_Bindea_et_al","ENSG00000138166.6","protein_coding","DUSP5",NA,1847
"Th1_cells_Bindea_et_al","ENSG00000157193.18","protein_coding","LRP8",NA,7804
"Th1_cells_Bindea_et_al","ENSG00000127318.11","protein_coding","IL22",NA,50616
"Th1_cells_Bindea_et_al","ENSG00000157680.16","protein_coding","DGKI",NA,9162
"Th1_cells_Bindea_et_al","ENSG00000275302.2","protein_coding","CCL4",NA,6351
"Th1_cells_Bindea_et_al","ENSG00000100031.19","protein_coding","GGT1",NA,2678
"Th1_cells_Bindea_et_al","ENSG00000173114.13","protein_coding","LRRN3",NA,54674
"Th1_cells_Bindea_et_al","ENSG00000127561.16","protein_coding","SYNGR3",NA,9143
"Th1_cells_Bindea_et_al","ENSG00000054793.14","protein_coding","ATP9A",NA,10079
"Th1_cells_Bindea_et_al","ENSG00000154640.15","protein_coding","BTG3",NA,10950
"Th1_cells_Bindea_et_al","ENSG00000168405.18","transcribed_unitary_pseudogene","CMAHP",NA,NA
"Th1_cells_Bindea_et_al","ENSG00000113070.8","protein_coding","HBEGF",NA,1839
"Th1_cells_Bindea_et_al","ENSG00000163069.13","protein_coding","SGCB",NA,6443
