"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CD8_Rooney_et_al","ENSG00000153563.16","protein_coding","CD8A",NA,925
"CD8_Rooney_et_al","ENSG00000172116.23","protein_coding","CD8B",NA,926
"CD8_Rooney_et_al","ENSG00000145649.8","protein_coding","GZMA",NA,3001
"CD8_Rooney_et_al","ENSG00000100453.14","protein_coding","GZMB",NA,3002
"CD8_Rooney_et_al","ENSG00000180644.8","protein_coding","PRF1",NA,5551
