"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"T_cell_exhaustion_Peng_et_al","ENSG00000204388.7","protein_coding","HSPA1B",NA,3304
"T_cell_exhaustion_Peng_et_al","ENSG00000204389.10","protein_coding","HSPA1A",NA,3303
"T_cell_exhaustion_Peng_et_al","ENSG00000153234.15","protein_coding","NR4A2",NA,4929
"T_cell_exhaustion_Peng_et_al","ENSG00000090104.12","protein_coding","RGS1",NA,5996
"T_cell_exhaustion_Peng_et_al","ENSG00000118503.16","protein_coding","TNFAIP3",NA,7128
"T_cell_exhaustion_Peng_et_al","ENSG00000162545.6","protein_coding","CAMK2N1",NA,55450
"T_cell_exhaustion_Peng_et_al","ENSG00000120129.6","protein_coding","DUSP1",NA,1843
"T_cell_exhaustion_Peng_et_al","ENSG00000119508.18","protein_coding","NR4A3",NA,8013
"T_cell_exhaustion_Peng_et_al","ENSG00000119917.15","protein_coding","IFIT3",NA,3437
"T_cell_exhaustion_Peng_et_al","ENSG00000204010.3","protein_coding","IFIT1B",NA,439996
"T_cell_exhaustion_Peng_et_al","ENSG00000125740.14","protein_coding","FOSB",NA,2354
"T_cell_exhaustion_Peng_et_al","ENSG00000271503.6","protein_coding","CCL5",NA,6352
"T_cell_exhaustion_Peng_et_al","ENSG00000164483.17","protein_coding","SAMD3",NA,154075
"T_cell_exhaustion_Peng_et_al",NA,NA,"CCL3L3",NA,6349
"T_cell_exhaustion_Peng_et_al","ENSG00000183742.13","protein_coding","MACC1",NA,346389
"T_cell_exhaustion_Peng_et_al","ENSG00000139722.7","protein_coding","VPS37B",NA,79720
"T_cell_exhaustion_Peng_et_al","ENSG00000091513.16","protein_coding","TF",NA,7018
"T_cell_exhaustion_Peng_et_al","ENSG00000171451.15","protein_coding","DSEL",NA,92126
"T_cell_exhaustion_Peng_et_al","ENSG00000006282.21","protein_coding","SPATA20",NA,64847
"T_cell_exhaustion_Peng_et_al","ENSG00000185100.11","protein_coding","ADSS1",NA,122622
"T_cell_exhaustion_Peng_et_al","ENSG00000108771.13","protein_coding","DHX58",NA,79132
"T_cell_exhaustion_Peng_et_al","ENSG00000118785.15","protein_coding","SPP1",NA,6696
"T_cell_exhaustion_Peng_et_al","ENSG00000204610.14","protein_coding","TRIM15",NA,89870
"T_cell_exhaustion_Peng_et_al","ENSG00000133878.9","protein_coding","DUSP26",NA,78986
"T_cell_exhaustion_Peng_et_al","ENSG00000108798.9","protein_coding","ABI3",NA,51225
"T_cell_exhaustion_Peng_et_al","ENSG00000175793.12","protein_coding","SFN",NA,2810
"T_cell_exhaustion_Peng_et_al","ENSG00000159189.13","protein_coding","C1QC",NA,714
"T_cell_exhaustion_Peng_et_al","ENSG00000136514.3","protein_coding","RTP4",NA,64108
"T_cell_exhaustion_Peng_et_al","ENSG00000177606.8","protein_coding","JUN",NA,3725
"T_cell_exhaustion_Peng_et_al","ENSG00000083123.15","protein_coding","BCKDHB",NA,594
"T_cell_exhaustion_Peng_et_al","ENSG00000275302.2","protein_coding","CCL4",NA,6351
"T_cell_exhaustion_Peng_et_al","ENSG00000184271.18","protein_coding","POU6F1",NA,5463
"T_cell_exhaustion_Peng_et_al","ENSG00000152207.8","protein_coding","CYSLTR2",NA,57105
"T_cell_exhaustion_Peng_et_al","ENSG00000141469.18","protein_coding","SLC14A1",NA,6563
"T_cell_exhaustion_Peng_et_al","ENSG00000143333.7","protein_coding","RGS16",NA,6004
"T_cell_exhaustion_Peng_et_al","ENSG00000180891.13","protein_coding","CUEDC1",NA,404093
"T_cell_exhaustion_Peng_et_al","ENSG00000160570.14","protein_coding","DEDD2",NA,162989
"T_cell_exhaustion_Peng_et_al","ENSG00000214575.10","protein_coding","CPEB1",NA,64506
"T_cell_exhaustion_Peng_et_al","ENSG00000163131.12","protein_coding","CTSS",NA,1520
"T_cell_exhaustion_Peng_et_al","ENSG00000167874.7","protein_coding","TMEM88",NA,92162
"T_cell_exhaustion_Peng_et_al","ENSG00000204767.4","protein_coding","INSYN2B",NA,100131897
"T_cell_exhaustion_Peng_et_al","ENSG00000157933.10","protein_coding","SKI",NA,6497
"T_cell_exhaustion_Peng_et_al","ENSG00000133639.6","protein_coding","BTG1",NA,694
"T_cell_exhaustion_Peng_et_al","ENSG00000153157.13","protein_coding","SYCP2L",NA,221711
"T_cell_exhaustion_Peng_et_al","ENSG00000116741.8","protein_coding","RGS2",NA,5997
"T_cell_exhaustion_Peng_et_al","ENSG00000085563.15","protein_coding","ABCB1",NA,5243
"T_cell_exhaustion_Peng_et_al","ENSG00000169252.6","protein_coding","ADRB2",NA,154
"T_cell_exhaustion_Peng_et_al","ENSG00000110848.8","protein_coding","CD69",NA,969
"T_cell_exhaustion_Peng_et_al","ENSG00000158717.11","protein_coding","RNF166",NA,115992
"T_cell_exhaustion_Peng_et_al","ENSG00000120332.17","protein_coding","TNN",NA,63923
