signature_name,gene_name
12-chemokine,CCL2
12-chemokine,CCL3
12-chemokine,CCL4
12-chemokine,CCL5
12-chemokine,CCL8
12-chemokine,CCL18
12-chemokine,CCL19
12-chemokine,CCL21
12-chemokine,CXCL9
12-chemokine,CXCL10
12-chemokine,CXCL11
12-chemokine,CXCL11_2
12-chemokine,CXCL13
