signature_name,gene_id,gene_type,gene_name,weight
12-chemokine,ENSG00000108691.10,protein_coding,CCL2,NA
12-chemokine,ENSG00000277632.2,protein_coding,CCL3,NA
12-chemokine,ENSG00000275302.2,protein_coding,CCL4,NA
12-chemokine,ENSG00000271503.6,protein_coding,CCL5,NA
12-chemokine,ENSG00000108700.5,protein_coding,CCL8,NA
12-chemokine,ENSG00000275385.2,protein_coding,CCL18,NA
12-chemokine,ENSG00000172724.12,protein_coding,CCL19,NA
12-chemokine,ENSG00000137077.8,protein_coding,CCL21,NA
12-chemokine,ENSG00000138755.6,protein_coding,CXCL9,NA
12-chemokine,ENSG00000169245.6,protein_coding,CXCL10,NA
12-chemokine,ENSG00000169248.13,protein_coding,CXCL11,NA
12-chemokine,ENSG00000156234.8,protein_coding,CXCL13,NA
