signature_name,gene_name
CD274,IL2RG
CD274,HLA-DRA
CD274,CCR5
CD274,SLAMF6
CD274,CXCR6
CD274,PTPRC
CD274,CD3E
CD274,CXCL13
CD274,CD3D
CD274,CXCL9
CD274,GZMK
CD274,CXCL10
CD274,CD2
CD274,CCL5
CD274,IFNG
CD274,IDO1
CD274,ITGAL
CD274,NKG7
CD274,HLA-E
CD274,LAG3
CD274,TAGAP
CD274,GZMA
CD274,GZMB
CD274,STAT1
CD274,CIITA
CD274,PRF1
CD274,PDCD1
CD274,CXCL11
