"signature_name","gene_id","gene_type","gene_name","weight"
"MHC-I_Liu","ENSG00000206503.13","protein_coding","HLA-A",NA
"MHC-I_Liu","ENSG00000234745.14","protein_coding","HLA-B",NA
"MHC-I_Liu","ENSG00000204525.18","protein_coding","HLA-C",NA
"MHC-I_Liu","ENSG00000204592.9","protein_coding","HLA-E",NA
"MHC-I_Liu","ENSG00000204642.14","protein_coding","HLA-F",NA
"MHC-I_Liu","ENSG00000168394.12","protein_coding","TAP1",NA
"MHC-I_Liu","ENSG00000204267.17","protein_coding","TAP2",NA
"MHC-I_Liu","ENSG00000166710.23","protein_coding","B2M",NA
