"","signature_name","gene_id","gene_type","gene_name","name","class","weight"
"53","IPS","ENSG00000110848.8","protein_coding","CD69","Act CD8","EC",1
"54","IPS","ENSG00000153563.16","protein_coding","CD8A","Act CD8","EC",1
"55","IPS","ENSG00000153140.9","protein_coding","CETN3","Act CD8","EC",1
"56","IPS","ENSG00000124207.17","protein_coding","CSE1L","Act CD8","EC",1
"57","IPS","ENSG00000152147.11","protein_coding","GEMIN6","Act CD8","EC",1
"58","IPS","ENSG00000115523.17","protein_coding","GNLY","Act CD8","EC",1
"59","IPS","ENSG00000166123.14","protein_coding","GPT2","Act CD8","EC",1
"60","IPS","ENSG00000145649.8","protein_coding","GZMA","Act CD8","EC",1
"61","IPS","ENSG00000100450.13","protein_coding","GZMH","Act CD8","EC",1
"62","IPS","ENSG00000113088.6","protein_coding","GZMK","Act CD8","EC",1
"63","IPS","ENSG00000100385.14","protein_coding","IL2RB","Act CD8","EC",1
"64","IPS","ENSG00000182866.17","protein_coding","LCK","Act CD8","EC",1
"65","IPS","ENSG00000197965.12","protein_coding","MPZL1","Act CD8","EC",1
"66","IPS","ENSG00000105374.10","protein_coding","NKG7","Act CD8","EC",1
"67","IPS","ENSG00000100100.13","protein_coding","PIK3IP1","Act CD8","EC",1
"68","IPS","ENSG00000141378.15","protein_coding","PTRH2","Act CD8","EC",1
"69","IPS","ENSG00000099800.8","protein_coding","TIMM13","Act CD8","EC",1
"70","IPS","ENSG00000115085.14","protein_coding","ZAP70","Act CD8","EC",1
"71","IPS","ENSG00000149311.20","protein_coding","ATM","Tem CD4","EC",1
"72","IPS","ENSG00000164305.19","protein_coding","CASP3","Tem CD4","EC",1
"73","IPS","ENSG00000143318.13","protein_coding","CASQ1","Tem CD4","EC",1
"74","IPS","ENSG00000186407.7","protein_coding","CD300E","Tem CD4","EC",1
"75","IPS",NA,NA,"DARS","Tem CD4","EC",1
"76","IPS","ENSG00000088387.21","protein_coding","DOCK9","Tem CD4","EC",1
"77","IPS","ENSG00000123737.13","protein_coding","EXOSC9","Tem CD4","EC",1
"78","IPS","ENSG00000106462.12","protein_coding","EZH2","Tem CD4","EC",1
"79","IPS","ENSG00000006007.12","protein_coding","GDE1","Tem CD4","EC",1
"80","IPS","ENSG00000157368.12","protein_coding","IL34","Tem CD4","EC",1
"81","IPS","ENSG00000266412.6","protein_coding","NCOA4","Tem CD4","EC",1
"82","IPS","ENSG00000277586.4","protein_coding","NEFL","Tem CD4","EC",1
"83","IPS","ENSG00000104213.13","protein_coding","PDGFRL","Tem CD4","EC",1
"84","IPS","ENSG00000095303.17","protein_coding","PTGS1","Tem CD4","EC",1
"85","IPS","ENSG00000135597.19","protein_coding","REPS1","Tem CD4","EC",1
"86","IPS","ENSG00000171951.5","protein_coding","SCG2","Tem CD4","EC",1
"87","IPS",NA,NA,"SDPR","Tem CD4","EC",1
"88","IPS","ENSG00000254415.4","protein_coding","SIGLEC14","Tem CD4","EC",1
"89","IPS","ENSG00000105492.16","protein_coding","SIGLEC6","Tem CD4","EC",1
"90","IPS","ENSG00000162367.12","protein_coding","TAL1","Tem CD4","EC",1
"91","IPS","ENSG00000105967.16","protein_coding","TFEC","Tem CD4","EC",1
"92","IPS","ENSG00000075131.10","protein_coding","TIPIN","Tem CD4","EC",1
"93","IPS","ENSG00000196511.15","protein_coding","TPK1","Tem CD4","EC",1
"94","IPS","ENSG00000156467.10","protein_coding","UQCRB","Tem CD4","EC",1
"95","IPS","ENSG00000114374.13","protein_coding","USP9Y","Tem CD4","EC",1
"96","IPS","ENSG00000115935.18","protein_coding","WIPF1","Tem CD4","EC",1
"97","IPS","ENSG00000139168.9","protein_coding","ZCRB1","Tem CD4","EC",1
"98","IPS","ENSG00000072818.12","protein_coding","ACAP1","Tem CD8","EC",1
"99","IPS","ENSG00000128284.20","protein_coding","APOL3","Tem CD8","EC",1
"100","IPS","ENSG00000071205.12","protein_coding","ARHGAP10","Tem CD8","EC",1
"101","IPS","ENSG00000145246.14","protein_coding","ATP10D","Tem CD8","EC",1
"102","IPS","ENSG00000171860.5","protein_coding","C3AR1","Tem CD8","EC",1
"103","IPS","ENSG00000160791.14","protein_coding","CCR5","Tem CD8","EC",1
"104","IPS","ENSG00000117281.16","protein_coding","CD160","Tem CD8","EC",1
