signature_name,gene_name
T-effector_IFN_POPLAR,CD8A
T-effector_IFN_POPLAR,GZMA
T-effector_IFN_POPLAR,GZMB
T-effector_IFN_POPLAR,IFNG
T-effector_IFN_POPLAR,EOMES
T-effector_IFN_POPLAR,CXCL9
T-effector_IFN_POPLAR,CXCL10
T-effector_IFN_POPLAR,TBX21
