signature_name,gene_name,class
PassON_Du,ACOT11,REACTOME_FATTY_ACID_METABOLISM
PassON_Du,GPX4,REACTOME_FATTY_ACID_METABOLISM
PassON_Du,ECI1,REACTOME_FATTY_ACID_METABOLISM
PassON_Du,THRSP,REACTOME_FATTY_ACID_METABOLISM
PassON_Du,HLA-DPA1,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DPB1,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DQA1,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DRA,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DRB5,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DQB1,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DQB2,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DRB1,REACTOME_PD_1_SIGNALING
PassON_Du,HLA-DQA2,REACTOME_PD_1_SIGNALING
PassON_Du,CD3E,REACTOME_PD_1_SIGNALING
PassON_Du,LCK,REACTOME_PD_1_SIGNALING
PassON_Du,CSK,REACTOME_PD_1_SIGNALING
PassON_Du,CD3D,REACTOME_PD_1_SIGNALING
PassON_Du,CD3G,REACTOME_PD_1_SIGNALING
PassON_Du,PDCD1,REACTOME_PD_1_SIGNALING
PassON_Du,CD4,REACTOME_PD_1_SIGNALING
PassON_Du,CD274,REACTOME_PD_1_SIGNALING
PassON_Du,CD247,REACTOME_PD_1_SIGNALING
