signature_name,gene_id,gene_type,gene_name,weight
STAT1_Care,ENSG00000115415.20,protein_coding,STAT1,NA
STAT1_Care,ENSG00000117228.11,protein_coding,GBP1,NA
STAT1_Care,ENSG00000125347.15,protein_coding,IRF1,NA
STAT1_Care,ENSG00000140105.18,protein_coding,WARS1,NA
STAT1_Care,ENSG00000133321.11,protein_coding,PLAAT4,NA
STAT1_Care,ENSG00000138755.6,protein_coding,CXCL9,NA
STAT1_Care,ENSG00000154451.15,protein_coding,GBP5,NA
STAT1_Care,ENSG00000002549.13,protein_coding,LAP3,NA
STAT1_Care,ENSG00000128284.20,protein_coding,APOL3,NA
STAT1_Care,ENSG00000131203.13,protein_coding,IDO1,NA
STAT1_Care,ENSG00000162654.9,protein_coding,GBP4,NA
STAT1_Care,ENSG00000089692.9,protein_coding,LAG3,NA
STAT1_Care,ENSG00000169245.6,protein_coding,CXCL10,NA
STAT1_Care,ENSG00000145649.8,protein_coding,GZMA,NA
STAT1_Care,ENSG00000180644.8,protein_coding,PRF1,NA
STAT1_Care,ENSG00000111537.5,protein_coding,IFNG,NA
STAT1_Care,ENSG00000162645.13,protein_coding,GBP2,NA
STAT1_Care,ENSG00000160791.14,protein_coding,CCR5,NA
STAT1_Care,ENSG00000136867.11,protein_coding,SLC31A2,NA
STAT1_Care,ENSG00000221963.6,protein_coding,APOL6,NA
STAT1_Care,ENSG00000169248.13,protein_coding,CXCL11,NA
STAT1_Care,ENSG00000197249.14,protein_coding,SERPINA1,NA
STAT1_Care,ENSG00000198019.13,protein_coding,FCGR1B,NA
STAT1_Care,ENSG00000121858.11,protein_coding,TNFSF10,NA
STAT1_Care,ENSG00000113088.6,protein_coding,GZMK,NA
STAT1_Care,ENSG00000077984.6,protein_coding,CST7,NA
STAT1_Care,ENSG00000127951.8,protein_coding,FGL2,NA
STAT1_Care,ENSG00000168394.12,protein_coding,TAP1,NA
STAT1_Care,ENSG00000149131.17,protein_coding,SERPING1,NA
STAT1_Care,ENSG00000158869.11,protein_coding,FCER1G,NA
STAT1_Care,ENSG00000116824.5,protein_coding,CD2,NA
STAT1_Care,ENSG00000133574.10,protein_coding,GIMAP4,NA
STAT1_Care,ENSG00000119917.15,protein_coding,IFIT3,NA
STAT1_Care,ENSG00000275302.2,protein_coding,CCL4,NA
STAT1_Care,ENSG00000172215.6,protein_coding,CXCR6,NA
STAT1_Care,ENSG00000196329.12,protein_coding,GIMAP5,NA
STAT1_Care,ENSG00000132530.17,protein_coding,XAF1,NA
STAT1_Care,ENSG00000026751.17,protein_coding,SLAMF7,NA
STAT1_Care,ENSG00000152766.6,protein_coding,ANKRD22,NA
