signature_name,gene_id,gene_type,gene_name,weight
ImmuneCells,ENSG00000118785.15,protein_coding,SPP1,NA
ImmuneCells,ENSG00000159167.12,protein_coding,STC1,NA
ImmuneCells,ENSG00000113739.11,protein_coding,STC2,NA
ImmuneCells,ENSG00000133115.12,protein_coding,STOML3,NA
ImmuneCells,ENSG00000134207.17,protein_coding,SYT6,NA
ImmuneCells,ENSG00000218819.6,protein_coding,TDRD15,NA
ImmuneCells,ENSG00000074219.14,protein_coding,TEAD2,NA
ImmuneCells,ENSG00000167900.12,protein_coding,TK1,NA
ImmuneCells,ENSG00000145107.16,protein_coding,TM4SF19,NA
ImmuneCells,ENSG00000157111.13,protein_coding,TMEM171,NA
ImmuneCells,ENSG00000056972.20,protein_coding,TRAF3IP2,NA
ImmuneCells,ENSG00000095970.17,protein_coding,TREM2,NA
ImmuneCells,ENSG00000133107.15,protein_coding,TRPC4,NA
ImmuneCells,ENSG00000121297.8,protein_coding,TSHZ3,NA
ImmuneCells,ENSG00000183785.16,protein_coding,TUBA8,NA
ImmuneCells,ENSG00000176890.16,protein_coding,TYMS,NA
ImmuneCells,ENSG00000175063.17,protein_coding,UBE2C,NA
ImmuneCells,ENSG00000144406.19,protein_coding,UNC80,NA
ImmuneCells,ENSG00000165804.16,protein_coding,ZNF219,NA
ImmuneCells,ENSG00000148143.13,protein_coding,ZNF462,NA
ImmuneCells,ENSG00000167554.15,protein_coding,ZNF610,NA
ImmuneCells,ENSG00000221923.9,protein_coding,ZNF880,NA
