signature_name,gene_id,gene_type,gene_name,weight
PTEN-MITF_Cabrita,ENSG00000165949.13,protein_coding,IFI27,NA
PTEN-MITF_Cabrita,ENSG00000148908.15,protein_coding,RGS10,NA
PTEN-MITF_Cabrita,ENSG00000148834.13,protein_coding,GSTO1,NA
PTEN-MITF_Cabrita,ENSG00000138755.6,protein_coding,CXCL9,NA
PTEN-MITF_Cabrita,ENSG00000105374.10,protein_coding,NKG7,NA
PTEN-MITF_Cabrita,ENSG00000136040.9,protein_coding,PLXNC1,NA
PTEN-MITF_Cabrita,ENSG00000069974.16,protein_coding,RAB27A,NA
PTEN-MITF_Cabrita,ENSG00000114166.8,protein_coding,KAT2B,NA
PTEN-MITF_Cabrita,ENSG00000164175.15,protein_coding,SLC45A2,NA
PTEN-MITF_Cabrita,ENSG00000134028.14,protein_coding,ADAMDEC1,NA
PTEN-MITF_Cabrita,ENSG00000181061.14,protein_coding,HIGD1A,NA
PTEN-MITF_Cabrita,ENSG00000137496.18,protein_coding,IL18BP,NA
PTEN-MITF_Cabrita,ENSG00000136235.17,protein_coding,GPNMB,NA
PTEN-MITF_Cabrita,ENSG00000112137.19,protein_coding,PHACTR1,NA
PTEN-MITF_Cabrita,ENSG00000167286.11,protein_coding,CD3D,NA
PTEN-MITF_Cabrita,ENSG00000111913.20,protein_coding,RIPOR2,NA
PTEN-MITF_Cabrita,ENSG00000154451.15,protein_coding,GBP5,NA
PTEN-MITF_Cabrita,ENSG00000138496.17,protein_coding,PARP9,NA
PTEN-MITF_Cabrita,ENSG00000234745.14,protein_coding,HLA-B,NA
PTEN-MITF_Cabrita,ENSG00000117091.10,protein_coding,CD48,NA
PTEN-MITF_Cabrita,ENSG00000206337.12,lncRNA,HCP5,NA
PTEN-MITF_Cabrita,ENSG00000204642.14,protein_coding,HLA-F,NA
PTEN-MITF_Cabrita,ENSG00000158022.7,protein_coding,TRIM63,NA
PTEN-MITF_Cabrita,ENSG00000144837.9,protein_coding,PLA1A,NA
PTEN-MITF_Cabrita,ENSG00000156521.14,protein_coding,TYSND1,NA
PTEN-MITF_Cabrita,ENSG00000156234.8,protein_coding,CXCL13,NA
PTEN-MITF_Cabrita,ENSG00000187699.10,protein_coding,C2orf88,NA
PTEN-MITF_Cabrita,ENSG00000134508.13,protein_coding,CABLES1,NA
PTEN-MITF_Cabrita,ENSG00000055732.13,protein_coding,MCOLN3,NA
PTEN-MITF_Cabrita,ENSG00000135116.9,protein_coding,HRK,NA
PTEN-MITF_Cabrita,ENSG00000081087.15,protein_coding,OSTM1,NA
PTEN-MITF_Cabrita,ENSG00000102048.16,protein_coding,ASB9,NA
PTEN-MITF_Cabrita,ENSG00000162894.12,protein_coding,FCMR,NA
PTEN-MITF_Cabrita,ENSG00000108828.16,protein_coding,VAT1,NA
PTEN-MITF_Cabrita,ENSG00000144746.7,protein_coding,ARL6IP5,NA
PTEN-MITF_Cabrita,ENSG00000160678.12,protein_coding,S100A1,NA
PTEN-MITF_Cabrita,ENSG00000056998.20,protein_coding,GYG2,NA
PTEN-MITF_Cabrita,ENSG00000154589.7,protein_coding,LY96,NA
PTEN-MITF_Cabrita,ENSG00000026508.21,protein_coding,CD44,NA
PTEN-MITF_Cabrita,ENSG00000204592.9,protein_coding,HLA-E,NA
PTEN-MITF_Cabrita,ENSG00000116663.11,protein_coding,FBXO6,NA
PTEN-MITF_Cabrita,ENSG00000204632.13,protein_coding,HLA-G,NA
PTEN-MITF_Cabrita,ENSG00000187098.18,protein_coding,MITF,NA
PTEN-MITF_Cabrita,ENSG00000136514.3,protein_coding,RTP4,NA
PTEN-MITF_Cabrita,ENSG00000021355.13,protein_coding,SERPINB1,NA
PTEN-MITF_Cabrita,ENSG00000159231.6,protein_coding,CBR3,NA
PTEN-MITF_Cabrita,ENSG00000070731.11,protein_coding,ST6GALNAC2,NA
PTEN-MITF_Cabrita,ENSG00000197535.16,protein_coding,MYO5A,NA
PTEN-MITF_Cabrita,ENSG00000204264.12,protein_coding,PSMB8,NA
PTEN-MITF_Cabrita,ENSG00000163932.15,protein_coding,PRKCD,NA
PTEN-MITF_Cabrita,ENSG00000079385.23,protein_coding,CEACAM1,NA
PTEN-MITF_Cabrita,ENSG00000137265.16,protein_coding,IRF4,NA
PTEN-MITF_Cabrita,ENSG00000068079.8,protein_coding,IFI35,NA
PTEN-MITF_Cabrita,ENSG00000079950.14,protein_coding,STX7,NA
PTEN-MITF_Cabrita,ENSG00000187688.15,protein_coding,TRPV2,NA
PTEN-MITF_Cabrita,ENSG00000159685.11,protein_coding,CHCHD6,NA
PTEN-MITF_Cabrita,ENSG00000137752.25,protein_coding,CASP1,NA
PTEN-MITF_Cabrita,ENSG00000115415.20,protein_coding,STAT1,NA
PTEN-MITF_Cabrita,ENSG00000089041.17,protein_coding,P2RX7,NA
PTEN-MITF_Cabrita,ENSG00000143669.15,protein_coding,LYST,NA
PTEN-MITF_Cabrita,ENSG00000092529.25,protein_coding,CAPN3,NA
PTEN-MITF_Cabrita,ENSG00000197971.16,protein_coding,MBP,NA
PTEN-MITF_Cabrita,ENSG00000087842.11,protein_coding,PIR,NA
PTEN-MITF_Cabrita,ENSG00000168394.12,protein_coding,TAP1,NA
PTEN-MITF_Cabrita,ENSG00000131981.16,protein_coding,LGALS3,NA
PTEN-MITF_Cabrita,ENSG00000157873.18,protein_coding,TNFRSF14,NA
PTEN-MITF_Cabrita,ENSG00000140105.18,protein_coding,WARS1,NA
PTEN-MITF_Cabrita,ENSG00000205336.14,protein_coding,ADGRG1,NA
PTEN-MITF_Cabrita,ENSG00000213886.4,protein_coding,UBD,NA
PTEN-MITF_Cabrita,ENSG00000102032.13,protein_coding,RENBP,NA
PTEN-MITF_Cabrita,ENSG00000168824.15,protein_coding,NSG1,NA
PTEN-MITF_Cabrita,ENSG00000077498.9,protein_coding,TYR,NA
PTEN-MITF_Cabrita,ENSG00000120215.10,protein_coding,MLANA,NA
PTEN-MITF_Cabrita,ENSG00000182985.18,protein_coding,CADM1,NA
PTEN-MITF_Cabrita,ENSG00000197380.11,protein_coding,DACT3,NA
PTEN-MITF_Cabrita,ENSG00000145147.20,protein_coding,SLIT2,NA
PTEN-MITF_Cabrita,ENSG00000189184.12,protein_coding,PCDH18,NA
PTEN-MITF_Cabrita,ENSG00000139734.19,protein_coding,DIAPH3,NA
PTEN-MITF_Cabrita,ENSG00000134986.14,protein_coding,NREP,NA
PTEN-MITF_Cabrita,ENSG00000125266.8,protein_coding,EFNB2,NA
PTEN-MITF_Cabrita,ENSG00000120075.6,protein_coding,HOXB5,NA
PTEN-MITF_Cabrita,ENSG00000079931.15,protein_coding,MOXD1,NA
PTEN-MITF_Cabrita,ENSG00000118946.12,protein_coding,PCDH17,NA
PTEN-MITF_Cabrita,ENSG00000144824.21,protein_coding,PHLDB2,NA
PTEN-MITF_Cabrita,ENSG00000170558.10,protein_coding,CDH2,NA
PTEN-MITF_Cabrita,ENSG00000153904.21,protein_coding,DDAH1,NA
PTEN-MITF_Cabrita,ENSG00000133110.15,protein_coding,POSTN,NA
PTEN-MITF_Cabrita,ENSG00000117318.9,protein_coding,ID3,NA
PTEN-MITF_Cabrita,ENSG00000112773.16,protein_coding,TENT5A,NA
PTEN-MITF_Cabrita,ENSG00000188322.8,protein_coding,SBK1,NA
PTEN-MITF_Cabrita,ENSG00000170035.16,protein_coding,UBE2E3,NA
PTEN-MITF_Cabrita,ENSG00000116285.13,protein_coding,ERRFI1,NA
PTEN-MITF_Cabrita,ENSG00000182667.15,protein_coding,NTM,NA
PTEN-MITF_Cabrita,ENSG00000124225.16,protein_coding,PMEPA1,NA
PTEN-MITF_Cabrita,ENSG00000154188.10,protein_coding,ANGPT1,NA
PTEN-MITF_Cabrita,ENSG00000106333.13,protein_coding,PCOLCE,NA
PTEN-MITF_Cabrita,ENSG00000157240.4,protein_coding,FZD1,NA
PTEN-MITF_Cabrita,ENSG00000058091.17,protein_coding,CDK14,NA
PTEN-MITF_Cabrita,ENSG00000136158.12,protein_coding,SPRY2,NA
PTEN-MITF_Cabrita,ENSG00000105810.10,protein_coding,CDK6,NA
PTEN-MITF_Cabrita,ENSG00000038427.16,protein_coding,VCAN,NA
PTEN-MITF_Cabrita,ENSG00000113657.13,protein_coding,DPYSL3,NA
PTEN-MITF_Cabrita,ENSG00000130600.20,lncRNA,H19,NA
PTEN-MITF_Cabrita,ENSG00000104723.21,protein_coding,TUSC3,NA
PTEN-MITF_Cabrita,ENSG00000151617.17,protein_coding,EDNRA,NA
PTEN-MITF_Cabrita,ENSG00000180340.7,protein_coding,FZD2,NA
PTEN-MITF_Cabrita,ENSG00000176619.13,protein_coding,LMNB2,NA
PTEN-MITF_Cabrita,ENSG00000169604.21,protein_coding,ANTXR1,NA
PTEN-MITF_Cabrita,ENSG00000130508.11,protein_coding,PXDN,NA
PTEN-MITF_Cabrita,ENSG00000213190.4,protein_coding,MLLT11,NA
PTEN-MITF_Cabrita,ENSG00000213694.6,protein_coding,S1PR3,NA
PTEN-MITF_Cabrita,ENSG00000070961.16,protein_coding,ATP2B1,NA
PTEN-MITF_Cabrita,ENSG00000105270.15,protein_coding,CLIP3,NA
PTEN-MITF_Cabrita,ENSG00000162521.19,protein_coding,RBBP4,NA
PTEN-MITF_Cabrita,ENSG00000262655.4,protein_coding,SPON1,NA
PTEN-MITF_Cabrita,ENSG00000173894.11,protein_coding,CBX2,NA
PTEN-MITF_Cabrita,ENSG00000106004.5,protein_coding,HOXA5,NA
PTEN-MITF_Cabrita,ENSG00000117114.21,protein_coding,ADGRL2,NA
PTEN-MITF_Cabrita,ENSG00000050165.19,protein_coding,DKK3,NA
PTEN-MITF_Cabrita,ENSG00000115457.10,protein_coding,IGFBP2,NA
PTEN-MITF_Cabrita,ENSG00000113083.15,protein_coding,LOX,NA
PTEN-MITF_Cabrita,ENSG00000054598.9,protein_coding,FOXC1,NA
PTEN-MITF_Cabrita,ENSG00000145730.21,protein_coding,PAM,NA
PTEN-MITF_Cabrita,ENSG00000064042.18,protein_coding,LIMCH1,NA
PTEN-MITF_Cabrita,ENSG00000088882.8,protein_coding,CPXM1,NA
PTEN-MITF_Cabrita,ENSG00000187607.16,protein_coding,ZNF286A,NA
PTEN-MITF_Cabrita,ENSG00000091136.15,protein_coding,LAMB1,NA
PTEN-MITF_Cabrita,ENSG00000118922.18,protein_coding,KLF12,NA
PTEN-MITF_Cabrita,ENSG00000060982.15,protein_coding,BCAT1,NA
PTEN-MITF_Cabrita,ENSG00000221983.8,protein_coding,UBA52,NA
PTEN-MITF_Cabrita,ENSG00000198040.11,protein_coding,ZNF84,NA
PTEN-MITF_Cabrita,ENSG00000168785.8,protein_coding,TSPAN5,NA
PTEN-MITF_Cabrita,ENSG00000125247.16,protein_coding,TMTC4,NA
PTEN-MITF_Cabrita,ENSG00000140262.18,protein_coding,TCF12,NA
PTEN-MITF_Cabrita,ENSG00000158321.18,protein_coding,AUTS2,NA
PTEN-MITF_Cabrita,ENSG00000125968.9,protein_coding,ID1,NA
PTEN-MITF_Cabrita,ENSG00000255690.3,protein_coding,TRIL,NA
PTEN-MITF_Cabrita,ENSG00000117139.18,protein_coding,KDM5B,NA
PTEN-MITF_Cabrita,ENSG00000185585.20,protein_coding,OLFML2A,NA
PTEN-MITF_Cabrita,ENSG00000162337.12,protein_coding,LRP5,NA
PTEN-MITF_Cabrita,ENSG00000172638.13,protein_coding,EFEMP2,NA
PTEN-MITF_Cabrita,ENSG00000243943.10,protein_coding,ZNF512,NA
PTEN-MITF_Cabrita,ENSG00000162694.14,protein_coding,EXTL2,NA
PTEN-MITF_Cabrita,ENSG00000134901.13,protein_coding,POGLUT2,NA
PTEN-MITF_Cabrita,ENSG00000183098.11,protein_coding,GPC6,NA
PTEN-MITF_Cabrita,ENSG00000067445.22,protein_coding,TRO,NA
PTEN-MITF_Cabrita,ENSG00000147027.4,protein_coding,TMEM47,NA
PTEN-MITF_Cabrita,ENSG00000114115.10,protein_coding,RBP1,NA
PTEN-MITF_Cabrita,ENSG00000172348.16,protein_coding,RCAN2,NA
PTEN-MITF_Cabrita,ENSG00000186918.14,protein_coding,ZNF395,NA
PTEN-MITF_Cabrita,ENSG00000144810.16,protein_coding,COL8A1,NA
PTEN-MITF_Cabrita,ENSG00000106829.20,protein_coding,TLE4,NA
PTEN-MITF_Cabrita,ENSG00000117152.14,protein_coding,RGS4,NA
PTEN-MITF_Cabrita,ENSG00000171617.15,protein_coding,ENC1,NA
PTEN-MITF_Cabrita,ENSG00000124766.7,protein_coding,SOX4,NA
PTEN-MITF_Cabrita,ENSG00000242265.6,protein_coding,PEG10,NA
PTEN-MITF_Cabrita,ENSG00000135862.6,protein_coding,LAMC1,NA
PTEN-MITF_Cabrita,ENSG00000171033.13,protein_coding,PKIA,NA
PTEN-MITF_Cabrita,ENSG00000166997.8,protein_coding,CNPY4,NA
PTEN-MITF_Cabrita,ENSG00000166582.11,protein_coding,CENPV,NA
PTEN-MITF_Cabrita,ENSG00000138434.17,protein_coding,ITPRID2,NA
PTEN-MITF_Cabrita,ENSG00000075618.18,protein_coding,FSCN1,NA
PTEN-MITF_Cabrita,ENSG00000134138.20,protein_coding,MEIS2,NA
PTEN-MITF_Cabrita,ENSG00000071564.17,protein_coding,TCF3,NA
PTEN-MITF_Cabrita,ENSG00000120833.14,protein_coding,SOCS2,NA
PTEN-MITF_Cabrita,ENSG00000074657.14,protein_coding,ZNF532,NA
PTEN-MITF_Cabrita,ENSG00000153234.15,protein_coding,NR4A2,NA
PTEN-MITF_Cabrita,ENSG00000145604.17,protein_coding,SKP2,NA
PTEN-MITF_Cabrita,ENSG00000152953.13,protein_coding,STK32B,NA
