"","signature_name","gene_id","gene_type","gene_name","weight"
"1","T_cell_exclusion","ENSG00000138363.15","protein_coding","ATIC",1
"2","T_cell_exclusion","ENSG00000145741.17","protein_coding","BTF3",1
"3","T_cell_exclusion","ENSG00000106153.13","protein_coding","CHCHD2",1
"4","T_cell_exclusion","ENSG00000254772.10","protein_coding","EEF1G",1
"5","T_cell_exclusion","ENSG00000130811.12","protein_coding","EIF3G",1
"6","T_cell_exclusion","ENSG00000149100.13","protein_coding","EIF3M",1
"7","T_cell_exclusion","ENSG00000161960.16","protein_coding","EIF4A1",1
"8","T_cell_exclusion","ENSG00000074800.16","protein_coding","ENO1",1
"9","T_cell_exclusion","ENSG00000178896.9","protein_coding","EXOSC4",1
"10","T_cell_exclusion","ENSG00000179115.11","protein_coding","FARSA",1
"11","T_cell_exclusion","ENSG00000111640.15","protein_coding","GAPDH",1
"12","T_cell_exclusion","ENSG00000130600.20","lncRNA","H19",1
"13","T_cell_exclusion","ENSG00000135486.19","protein_coding","HNRNPA1",1
"14","T_cell_exclusion","ENSG00000130332.15","protein_coding","LSM7",1
"15","T_cell_exclusion","ENSG00000147381.12","protein_coding","MAGEA4",1
"16","T_cell_exclusion","ENSG00000155495.9","protein_coding","MAGEC1",1
"17","T_cell_exclusion","ENSG00000146701.12","protein_coding","MDH2",1
"18","T_cell_exclusion",NA,NA,"MKI67IP",1
"19","T_cell_exclusion","ENSG00000213190.4","protein_coding","MLLT11",1
"20","T_cell_exclusion","ENSG00000062582.14","protein_coding","MRPS24",1
"21","T_cell_exclusion","ENSG00000196531.14","protein_coding","NACA",1
"22","T_cell_exclusion","ENSG00000147684.10","protein_coding","NDUFB9",1
"23","T_cell_exclusion","ENSG00000239672.8","protein_coding","NME1",1
"24","T_cell_exclusion","ENSG00000134986.14","protein_coding","NREP",1
"25","T_cell_exclusion","ENSG00000236552.2","processed_pseudogene","RPL13AP5",1
"26","T_cell_exclusion","ENSG00000105640.13","protein_coding","RPL18A",1
"27","T_cell_exclusion","ENSG00000108298.12","protein_coding","RPL19",1
"28","T_cell_exclusion","ENSG00000161970.15","protein_coding","RPL26",1
"29","T_cell_exclusion","ENSG00000166441.13","protein_coding","RPL27A",1
"30","T_cell_exclusion","ENSG00000071082.11","protein_coding","RPL31",1
"31","T_cell_exclusion","ENSG00000144713.13","protein_coding","RPL32",1
"32","T_cell_exclusion","ENSG00000182899.17","protein_coding","RPL35A",1
"33","T_cell_exclusion","ENSG00000130255.13","protein_coding","RPL36",1
"34","T_cell_exclusion","ENSG00000145592.14","protein_coding","RPL37",1
"35","T_cell_exclusion","ENSG00000197756.10","protein_coding","RPL37A",1
"36","T_cell_exclusion","ENSG00000198918.8","protein_coding","RPL39",1
"37","T_cell_exclusion","ENSG00000089009.16","protein_coding","RPL6",1
"38","T_cell_exclusion","ENSG00000147604.14","protein_coding","RPL7",1
"39","T_cell_exclusion","ENSG00000177600.9","protein_coding","RPLP2",1
"40","T_cell_exclusion","ENSG00000142534.7","protein_coding","RPS11",1
"41","T_cell_exclusion","ENSG00000110700.7","protein_coding","RPS13",1
"42","T_cell_exclusion","ENSG00000164587.13","protein_coding","RPS14",1
"43","T_cell_exclusion","ENSG00000115268.10","protein_coding","RPS15",1
"44","T_cell_exclusion","ENSG00000105193.9","protein_coding","RPS16",1
"45","T_cell_exclusion","ENSG00000182774.13","protein_coding","RPS17",1
"46","T_cell_exclusion",NA,NA,"RPS17L",1
"47","T_cell_exclusion","ENSG00000231500.7","protein_coding","RPS18",1
"48","T_cell_exclusion","ENSG00000008988.11","protein_coding","RPS20",1
"49","T_cell_exclusion","ENSG00000171858.18","protein_coding","RPS21",1
"50","T_cell_exclusion","ENSG00000186468.13","protein_coding","RPS23",1
"51","T_cell_exclusion","ENSG00000118181.11","protein_coding","RPS25",1
"52","T_cell_exclusion","ENSG00000143947.15","protein_coding","RPS27A",1
"53","T_cell_exclusion","ENSG00000233927.5","protein_coding","RPS28",1
"54","T_cell_exclusion","ENSG00000198034.11","protein_coding","RPS4X",1
"55","T_cell_exclusion","ENSG00000083845.9","protein_coding","RPS5",1
"56","T_cell_exclusion","ENSG00000137154.13","protein_coding","RPS6",1
"57","T_cell_exclusion","ENSG00000127616.20","protein_coding","SMARCA4",1
"58","T_cell_exclusion","ENSG00000125743.11","protein_coding","SNRPD2",1
"59","T_cell_exclusion","ENSG00000165283.16","protein_coding","STOML2",1
"60","T_cell_exclusion","ENSG00000099800.8","protein_coding","TIMM13",1
"61","T_cell_exclusion","ENSG00000111669.15","protein_coding","TPI1",1
"62","T_cell_exclusion","ENSG00000221983.8","protein_coding","UBA52",1
"63","T_cell_exclusion",NA,NA,"WBSCR22",1
"64","T_cell_exclusion","ENSG00000189058.9","protein_coding","APOD",-1
"65","T_cell_exclusion","ENSG00000130203.10","protein_coding","APOE",-1
"66","T_cell_exclusion","ENSG00000163399.16","protein_coding","ATP1A1",-1
"67","T_cell_exclusion","ENSG00000166710.23","protein_coding","B2M",-1
"68","T_cell_exclusion","ENSG00000092529.25","protein_coding","CAPN3",-1
"69","T_cell_exclusion","ENSG00000135404.12","protein_coding","CD63",-1
"70","T_cell_exclusion","ENSG00000039068.20","protein_coding","CDH1",-1
"71","T_cell_exclusion","ENSG00000117984.15","protein_coding","CTSD",-1
"72","T_cell_exclusion","ENSG00000146122.17","protein_coding","DAAM2",-1
"73","T_cell_exclusion","ENSG00000136235.17","protein_coding","GPNMB",-1
"74","T_cell_exclusion",NA,NA,"GPR56",-1
"75","T_cell_exclusion","ENSG00000206503.13","protein_coding","HLA-A",-1
"76","T_cell_exclusion","ENSG00000234745.14","protein_coding","HLA-B",-1
"77","T_cell_exclusion","ENSG00000204525.18","protein_coding","HLA-C",-1
"78","T_cell_exclusion","ENSG00000204642.14","protein_coding","HLA-F",-1
"79","T_cell_exclusion","ENSG00000206341.7","unprocessed_pseudogene","HLA-H",-1
"80","T_cell_exclusion","ENSG00000110756.18","protein_coding","HPS5",-1
"81","T_cell_exclusion","ENSG00000080824.19","protein_coding","HSP90AA1",-1
"82","T_cell_exclusion","ENSG00000165949.13","protein_coding","IFI27",-1
"83","T_cell_exclusion","ENSG00000137265.16","protein_coding","IRF4",-1
"84","T_cell_exclusion","ENSG00000131981.16","protein_coding","LGALS3",-1
"85","T_cell_exclusion","ENSG00000108679.13","protein_coding","LGALS3BP",-1
"86","T_cell_exclusion","ENSG00000076706.17","protein_coding","MCAM",-1
"87","T_cell_exclusion","ENSG00000256618.3","protein_coding","MTRNR2L1",-1
