"","signature_name","gene_id","gene_type","gene_name","weight"
"83","NonResponse_Ivy","ENSG00000136824.19","protein_coding","SMC2",NA
"84","NonResponse_Ivy","ENSG00000109475.17","protein_coding","RPL34",NA
"85","NonResponse_Ivy","ENSG00000145386.11","protein_coding","CCNA2",NA
"86","NonResponse_Ivy","ENSG00000144554.13","protein_coding","FANCD2",NA
"87","NonResponse_Ivy","ENSG00000171858.18","protein_coding","RPS21",NA
"88","NonResponse_Ivy","ENSG00000239789.6","protein_coding","MRPS17",NA
"89","NonResponse_Ivy","ENSG00000114686.9","protein_coding","MRPL3",NA
"90","NonResponse_Ivy",NA,NA,"H2AFZ",NA
"91","NonResponse_Ivy","ENSG00000116750.14","protein_coding","UCHL5",NA
"92","NonResponse_Ivy","ENSG00000118193.12","protein_coding","KIF14",NA
"93","NonResponse_Ivy","ENSG00000120533.13","protein_coding","ENY2",NA
"94","NonResponse_Ivy",NA,NA,"hNp95",NA
"95","NonResponse_Ivy","ENSG00000143977.14","protein_coding","SNRPG",NA
"96","NonResponse_Ivy","ENSG00000247077.7","protein_coding","PGAM5",NA
"97","NonResponse_Ivy","ENSG00000184661.14","protein_coding","CDCA2",NA
"98","NonResponse_Ivy","ENSG00000135476.12","protein_coding","ESPL1",NA
"99","NonResponse_Ivy","ENSG00000181938.14","protein_coding","GINS3",NA
"100","NonResponse_Ivy","ENSG00000011052.21","protein_coding","NME1-NME2",NA
"101","NonResponse_Ivy","ENSG00000148459.16","protein_coding","PDSS1",NA
"102","NonResponse_Ivy","ENSG00000163811.12","protein_coding","WDR43",NA
"103","NonResponse_Ivy","ENSG00000140525.20","protein_coding","FANCI",NA
"104","NonResponse_Ivy","ENSG00000128383.13","protein_coding","APOBEC3A",NA
"105","NonResponse_Ivy","ENSG00000123485.12","protein_coding","HJURP",NA
"106","NonResponse_Ivy","ENSG00000197275.14","protein_coding","RAD54B",NA
"107","NonResponse_Ivy","ENSG00000142731.11","protein_coding","PLK4",NA
"108","NonResponse_Ivy","ENSG00000126953.8","protein_coding","TIMM8A",NA
"109","NonResponse_Ivy","ENSG00000168496.4","protein_coding","FEN1",NA
"110","NonResponse_Ivy","ENSG00000120802.14","protein_coding","TMPO",NA
"111","NonResponse_Ivy",NA,NA,"LOC146880",NA
"112","NonResponse_Ivy","ENSG00000168078.10","protein_coding","PBK",NA
"113","NonResponse_Ivy","ENSG00000113368.12","protein_coding","LMNB1",NA
"114","NonResponse_Ivy","ENSG00000196550.11","protein_coding","FAM72A",NA
"115","NonResponse_Ivy","ENSG00000158402.21","protein_coding","CDC25C",NA
"116","NonResponse_Ivy","ENSG00000117632.23","protein_coding","STMN1",NA
"117","NonResponse_Ivy",NA,NA,"SGOL2",NA
"118","NonResponse_Ivy",NA,NA,"C3orf26",NA
"119","NonResponse_Ivy","ENSG00000051180.17","protein_coding","RAD51",NA
"120","NonResponse_Ivy","ENSG00000122952.17","protein_coding","ZWINT",NA
"121","NonResponse_Ivy","ENSG00000167553.17","protein_coding","TUBA1C",NA
"122","NonResponse_Ivy","ENSG00000156467.10","protein_coding","UQCRB",NA
"123","NonResponse_Ivy","ENSG00000104356.11","protein_coding","POP1",NA
"124","NonResponse_Ivy","ENSG00000121211.8","protein_coding","MND1",NA
"125","NonResponse_Ivy","ENSG00000136982.6","protein_coding","DSCC1",NA
"126","NonResponse_Ivy","ENSG00000166451.14","protein_coding","CENPN",NA
"127","NonResponse_Ivy","ENSG00000124562.10","protein_coding","SNRPC",NA
"128","NonResponse_Ivy","ENSG00000105173.14","protein_coding","CCNE1",NA
"129","NonResponse_Ivy","ENSG00000131747.15","protein_coding","TOP2A",NA
"130","NonResponse_Ivy","ENSG00000112029.10","protein_coding","FBXO5",NA
