"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"65","IPRES","POST_OP_WOUNDHEALING","ENSG00000171711.3","protein_coding","DEFB4A",NA
"66","IPRES","POST_OP_WOUNDHEALING","ENSG00000141526.18","protein_coding","SLC16A3",NA
"67","IPRES","POST_OP_WOUNDHEALING","ENSG00000277632.2","protein_coding","CCL3",NA
"68","IPRES","POST_OP_WOUNDHEALING",NA,NA,"AQPEP",NA
"69","IPRES","POST_OP_WOUNDHEALING","ENSG00000138061.12","protein_coding","CYP1B1",NA
"70","IPRES","POST_OP_WOUNDHEALING","ENSG00000108950.12","protein_coding","FAM20A",NA
"71","IPRES","POST_OP_WOUNDHEALING","ENSG00000107984.10","protein_coding","DKK1",NA
"72","IPRES","POST_OP_WOUNDHEALING","ENSG00000166130.15","protein_coding","IKBIP",NA
"73","IPRES","POST_OP_WOUNDHEALING","ENSG00000137573.14","protein_coding","SULF1",NA
"74","IPRES","POST_OP_WOUNDHEALING","ENSG00000130508.11","protein_coding","PXDN",NA
"75","IPRES","POST_OP_WOUNDHEALING","ENSG00000100292.18","protein_coding","HMOX1",NA
"76","IPRES","POST_OP_WOUNDHEALING","ENSG00000007933.13","protein_coding","FMO3",NA
"77","IPRES","POST_OP_WOUNDHEALING","ENSG00000196136.18","protein_coding","SERPINA3",NA
"78","IPRES","POST_OP_WOUNDHEALING","ENSG00000164134.13","protein_coding","NAA15",NA
"79","IPRES","POST_OP_WOUNDHEALING","ENSG00000038945.15","protein_coding","MSR1",NA
"80","IPRES","POST_OP_WOUNDHEALING","ENSG00000108700.5","protein_coding","CCL8",NA
"81","IPRES","POST_OP_WOUNDHEALING","ENSG00000241697.5","protein_coding","TMEFF1",NA
"82","IPRES","POST_OP_WOUNDHEALING","ENSG00000167755.15","protein_coding","KLK6",NA
"83","IPRES","POST_OP_WOUNDHEALING",NA,NA,"C13orf33",NA
"84","IPRES","POST_OP_WOUNDHEALING","ENSG00000123610.5","protein_coding","TNFAIP6",NA
"85","IPRES","POST_OP_WOUNDHEALING","ENSG00000008394.13","protein_coding","MGST1",NA
"86","IPRES","POST_OP_WOUNDHEALING","ENSG00000124193.16","protein_coding","SRSF6",NA
"87","IPRES","POST_OP_WOUNDHEALING","ENSG00000122862.5","protein_coding","SRGN",NA
"88","IPRES","POST_OP_WOUNDHEALING","ENSG00000136231.14","protein_coding","IGF2BP3",NA
"89","IPRES","POST_OP_WOUNDHEALING","ENSG00000099139.14","protein_coding","PCSK5",NA
"90","IPRES","POST_OP_WOUNDHEALING","ENSG00000058085.15","protein_coding","LAMC2",NA
"91","IPRES","POST_OP_WOUNDHEALING","ENSG00000162745.11","protein_coding","OLFML2B",NA
"92","IPRES","POST_OP_WOUNDHEALING","ENSG00000144959.11","protein_coding","NCEH1",NA
