"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000166710.23","protein_coding","B2M",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000179218.15","protein_coding","CALR",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000158485.11","protein_coding","CD1B",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000241106.8","protein_coding","HLA-DOB",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000170606.16","protein_coding","HSPA4",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000161057.13","protein_coding","PSMC2",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000108671.11","protein_coding","PSMD11",NA
"IPSOV_Shen","Antigen_Processing_and_Presentation","ENSG00000159352.16","protein_coding","PSMD4",NA
