"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPSOV_Shen","TGFb_Family_Member_Receptor","ENSG00000114739.14","protein_coding","ACVR2B",NA
"IPSOV_Shen","TGFb_Family_Member_Receptor","ENSG00000163513.19","protein_coding","TGFBR2",NA
