"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000181513.15","protein_coding","ACBD4",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000177465.5","protein_coding","ACOT4",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000184227.8","protein_coding","ACOT1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000101986.12","protein_coding","ABCD1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000164120.14","protein_coding","HPGD",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000242612.7","protein_coding","DECR2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000140505.7","protein_coding","CYP1A2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000205669.4","protein_coding","ACOT6",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000143554.14","protein_coding","SLC27A3",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000165175.17","protein_coding","MID1IP1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000132965.10","protein_coding","ALOX5AP",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000145439.12","protein_coding","CBR4",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000076555.16","protein_coding","ACACB",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000084754.12","protein_coding","HADHA",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000099194.6","protein_coding","SCD",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000198721.13","protein_coding","ECI2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000100031.19","protein_coding","GGT1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000167107.13","protein_coding","ACSF2",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000107897.20","protein_coding","ACBD5",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000163106.11","protein_coding","HPGDS",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000141179.14","protein_coding","PCTP",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000162390.18","protein_coding","ACOT11",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000167468.19","protein_coding","GPX4",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000167969.13","protein_coding","ECI1",NA
"PassON_Du","REACTOME_FATTY_ACID_METABOLISM","ENSG00000151365.2","protein_coding","THRSP",NA
