"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000165269.13","protein_coding","AQP7",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000162692.12","protein_coding","VCAM1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000163359.17","protein_coding","COL6A3",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000164692.19","protein_coding","COL1A2",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000137440.5","protein_coding","FGFBP1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000166741.8","protein_coding","NNMT",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000180914.11","protein_coding","OXTR",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000105825.14","protein_coding","TFPI2",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000111341.10","protein_coding","MGP",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000176697.20","protein_coding","BDNF",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000143878.10","protein_coding","RHOB",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000148677.7","protein_coding","ANKRD1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000231607.14","lncRNA","DLEU2",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000026025.16","protein_coding","VIM",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000179163.12","protein_coding","FUCA1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000149968.12","protein_coding","MMP3",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000138463.9","protein_coding","SLC49A4",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000182492.16","protein_coding","BGN",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000109193.12","protein_coding","SULT1E1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000172845.18","protein_coding","SP3",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000130066.17","protein_coding","SAT1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000146674.16","protein_coding","IGFBP3",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000127990.19","protein_coding","SGCE",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000164949.8","protein_coding","GEM",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000124145.6","protein_coding","SDC4",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000130821.17","protein_coding","SLC6A8",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000049540.19","protein_coding","ELN",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000108691.10","protein_coding","CCL2",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000164251.5","protein_coding","F2RL1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000106484.16","protein_coding","MEST",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000087245.13","protein_coding","MMP2",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000130635.16","protein_coding","COL5A1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000154096.14","protein_coding","THY1",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000213886.4","protein_coding","UBD",NA
"IPRES_Hugo","WESTON_VEGFA_TARGETS_12HR","ENSG00000244414.7","protein_coding","CFHR1",NA
