"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000025039.15","protein_coding","RRAGD",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000165512.5","protein_coding","ZNF22",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000184937.16","protein_coding","WT1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000196754.13","protein_coding","S100A2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000256683.7","protein_coding","ZNF350",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000129038.16","protein_coding","LOXL1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000127920.6","protein_coding","GNG11",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000102109.9","protein_coding","PCSK1N",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000139269.3","protein_coding","INHBE",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000106366.9","protein_coding","SERPINE1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000167601.12","protein_coding","AXL",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000187122.17","protein_coding","SLIT1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000239713.9","protein_coding","APOBEC3G",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000164778.4","protein_coding","EN2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000168243.11","protein_coding","GNG4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000134531.10","protein_coding","EMP1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000175352.12","protein_coding","NRIP3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198743.7","protein_coding","SLC5A3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000089820.16","protein_coding","ARHGAP4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000179388.9","protein_coding","EGR3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000197461.13","protein_coding","PDGFA",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000047634.15","protein_coding","SCML1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000130856.17","protein_coding","ZNF236",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131016.17","protein_coding","AKAP12",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000133401.16","protein_coding","PDZD2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000188015.10","protein_coding","S100A3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000158321.18","protein_coding","AUTS2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000196218.14","protein_coding","RYR1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000027869.12","protein_coding","SH2D2A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198576.4","protein_coding","ARC",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000175592.9","protein_coding","FOSL1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000182866.17","protein_coding","LCK",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000126353.3","protein_coding","CCR7",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131831.18","protein_coding","RAI2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000169946.14","protein_coding","ZFPM2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000184185.10","protein_coding","KCNJ12",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000116675.16","protein_coding","DNAJC6",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000175445.17","protein_coding","LPL",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000135074.16","protein_coding","ADAM19",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000147889.18","protein_coding","CDKN2A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000204389.10","protein_coding","HSPA1A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000205744.10","protein_coding","DENND1C",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000069535.14","protein_coding","MAOB",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000128591.16","protein_coding","FLNC",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000241399.7","protein_coding","CD302",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000107984.10","protein_coding","DKK1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000166289.6","protein_coding","PLEKHF1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000155093.19","protein_coding","PTPRN2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000026559.14","protein_coding","KCNG1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000142484.7","protein_coding","TM4SF5",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000149485.19","protein_coding","FADS1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000121966.8","protein_coding","CXCR4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000227051.7","protein_coding","C14orf132",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000115414.21","protein_coding","FN1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000147027.4","protein_coding","TMEM47",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000175040.6","protein_coding","CHST2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000104783.15","protein_coding","KCNN4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000213762.12","protein_coding","ZNF134",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000023902.14","protein_coding","PLEKHO1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000143320.9","protein_coding","CRABP2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000147224.13","protein_coding","PRPS1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000187688.15","protein_coding","TRPV2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000117122.14","protein_coding","MFAP2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000142227.11","protein_coding","EMP3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000112195.9","protein_coding","TREML2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000196154.12","protein_coding","S100A4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000107317.13","protein_coding","PTGDS",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000102678.7","protein_coding","FGF9",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000077984.6","protein_coding","CST7",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000179361.18","protein_coding","ARID3B",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000173698.18","protein_coding","ADGRG2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131711.15","protein_coding","MAP1B",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000226887.8","protein_coding","ERVMER34-1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000105655.19","protein_coding","ISYNA1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000114251.15","protein_coding","WNT5A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000136842.14","protein_coding","TMOD1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000142156.16","protein_coding","COL6A1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000116761.12","protein_coding","CTH",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000178695.6","protein_coding","KCTD12",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000007129.18","protein_coding","CEACAM21",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000180530.11","protein_coding","NRIP1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000122877.18","protein_coding","EGR2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000081181.8","protein_coding","ARG2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000119681.12","protein_coding","LTBP2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000071967.12","protein_coding","CYBRD1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000132688.11","protein_coding","NES",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000141404.17","protein_coding","GNAL",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000127507.18","protein_coding","ADGRE2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000183873.18","protein_coding","SCN5A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000135547.9","protein_coding","HEY2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000185069.2","protein_coding","KRT76",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000162409.12","protein_coding","PRKAA2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000178718.7","protein_coding","RPP25",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000157064.11","protein_coding","NMNAT2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000169071.15","protein_coding","ROR2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000180176.15","protein_coding","TH",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000167779.9","protein_coding","IGFBP6",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000107485.18","protein_coding","GATA3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000095752.7","protein_coding","IL11",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000134917.10","protein_coding","ADAMTS8",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000180871.8","protein_coding","CXCR2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000249992.2","protein_coding","TMEM158",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000187239.17","protein_coding","FNBP1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000089199.10","protein_coding","CHGB",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000135406.14","protein_coding","PRPH",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000096395.11","protein_coding","MLN",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000028137.19","protein_coding","TNFRSF1B",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000101144.13","protein_coding","BMP7",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000115526.11","protein_coding","CHST10",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000115226.10","protein_coding","FNDC4",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000159450.13","protein_coding","TCHH",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000104804.8","protein_coding","TULP2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000151718.16","protein_coding","WWC2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000101335.10","protein_coding","MYL9",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000171703.17","protein_coding","TCEA2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000151360.10","protein_coding","ALLC",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000169562.13","protein_coding","GJB1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000129682.16","protein_coding","FGF13",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000130821.17","protein_coding","SLC6A8",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000129680.16","protein_coding","MAP7D3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000165125.22","protein_coding","TRPV6",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131477.11","protein_coding","RAMP2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000129595.14","protein_coding","EPB41L4A",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000188677.15","protein_coding","PARVB",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000090932.11","protein_coding","DLL3",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000099139.14","protein_coding","PCSK5",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000139946.10","protein_coding","PELI2",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000179431.7","protein_coding","FJX1",NA
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000111145.8","protein_coding","ELK3",NA
