"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"M1_Hwang","ENSG00000114423.23","protein_coding","CBLB",NA,868
"M1_Hwang","ENSG00000126353.3","protein_coding","CCR7",NA,1236
"M1_Hwang","ENSG00000139193.4","protein_coding","CD27",NA,939
"M1_Hwang","ENSG00000117091.10","protein_coding","CD48",NA,962
"M1_Hwang","ENSG00000150907.10","protein_coding","FOXO1",NA,2308
"M1_Hwang","ENSG00000082074.19","protein_coding","FYB1",NA,2533
"M1_Hwang","ENSG00000234745.14","protein_coding","HLA-B",NA,3106
"M1_Hwang","ENSG00000204632.13","protein_coding","HLA-G",NA,3135
"M1_Hwang","ENSG00000115267.9","protein_coding","IFIH1",NA,64135
"M1_Hwang","ENSG00000123411.15","protein_coding","IKZF4",NA,64375
"M1_Hwang","ENSG00000078081.8","protein_coding","LAMP3",NA,27074
"M1_Hwang","ENSG00000100906.11","protein_coding","NFKBIA",NA,4792
"M1_Hwang","ENSG00000101347.11","protein_coding","SAMHD1",NA,25939
