"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Tcell-exclusion_Arnon","ENSG00000039068.20","protein_coding","CDH1",1,"999"
"Tcell-exclusion_Arnon","ENSG00000117984.15","protein_coding","CTSD",1,"1509"
"Tcell-exclusion_Arnon","ENSG00000146122.17","protein_coding","DAAM2",1,"23500"
"Tcell-exclusion_Arnon","ENSG00000136235.17","protein_coding","GPNMB",1,"10457"
"Tcell-exclusion_Arnon","ENSG00000205336.14","protein_coding","ADGRG1",1,"9289"
"Tcell-exclusion_Arnon","ENSG00000206503.13","protein_coding","HLA-A",1,"3105"
"Tcell-exclusion_Arnon","ENSG00000234745.14","protein_coding","HLA-B",1,"3106"
"Tcell-exclusion_Arnon","ENSG00000204525.18","protein_coding","HLA-C",1,"3107"
"Tcell-exclusion_Arnon","ENSG00000204642.14","protein_coding","HLA-F",1,"3134"
"Tcell-exclusion_Arnon","ENSG00000206341.7","unprocessed_pseudogene","HLA-H",1,NA
"Tcell-exclusion_Arnon","ENSG00000110756.18","protein_coding","HPS5",1,"11234"
"Tcell-exclusion_Arnon","ENSG00000080824.19","protein_coding","HSP90AA1",1,"3320"
"Tcell-exclusion_Arnon","ENSG00000165949.13","protein_coding","IFI27",1,"3429"
"Tcell-exclusion_Arnon","ENSG00000137265.16","protein_coding","IRF4",1,"3662"
"Tcell-exclusion_Arnon","ENSG00000131981.16","protein_coding","LGALS3",1,"3958"
"Tcell-exclusion_Arnon","ENSG00000108679.13","protein_coding","LGALS3BP",1,"3959"
"Tcell-exclusion_Arnon","ENSG00000076706.17","protein_coding","MCAM",1,"4162"
"Tcell-exclusion_Arnon","ENSG00000256618.3","protein_coding","MTRNR2L1",1,NA
"Tcell-exclusion_Arnon","ENSG00000256045.3","protein_coding","MTRNR2L10",1,NA
"Tcell-exclusion_Arnon","ENSG00000271043.2","processed_pseudogene","MTRNR2L2",1,NA
"Tcell-exclusion_Arnon","ENSG00000256222.3","protein_coding","MTRNR2L3",1,NA
"Tcell-exclusion_Arnon","ENSG00000232196.4","protein_coding","MTRNR2L4",1,NA
"Tcell-exclusion_Arnon","ENSG00000270672.1","protein_coding","MTRNR2L6",1,NA
