"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"CYT_Davoli","ENSG00000198821.11","protein_coding","CD247",1,"919"
"CYT_Davoli","ENSG00000116824.5","protein_coding","CD2",1,"914"
"CYT_Davoli","ENSG00000198851.10","protein_coding","CD3E",1,"916"
"CYT_Davoli","ENSG00000100450.13","protein_coding","GZMH",1,"2999"
"CYT_Davoli","ENSG00000105374.10","protein_coding","NKG7",1,"4818"
"CYT_Davoli","ENSG00000180644.8","protein_coding","PRF1",1,"5551"
"CYT_Davoli","ENSG00000113088.6","protein_coding","GZMK",1,"3003"
