"signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000114115.10","protein_coding","RBP1",NA,"5947"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000184613.11","protein_coding","NELL2",NA,"4753"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000147065.17","protein_coding","MSN",NA,"4478"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000108244.17","protein_coding","KRT23",NA,"25984"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000163453.11","protein_coding","IGFBP7",NA,"3490"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000186081.12","protein_coding","KRT5",NA,"3852"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000118971.9","protein_coding","CCND2",NA,"894"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131620.18","protein_coding","ANO1",NA,"55107"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000012660.14","protein_coding","ELOVL5",NA,"60481"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000100979.15","protein_coding","PLTP",NA,"5360"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000213145.10","protein_coding","CRIP1",NA,"1396"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000137273.6","protein_coding","FOXF2",NA,"2295"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000168917.9","protein_coding","SLC35G2",NA,"80723"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000100867.15","protein_coding","DHRS2",NA,"10202"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000180644.8","protein_coding","PRF1",NA,"5551"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198959.12","protein_coding","TGM2",NA,"7052"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000148671.14","protein_coding","ADIRF",NA,"10974"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000150244.12","protein_coding","TRIM48",NA,"79097"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000133083.15","protein_coding","DCLK1",NA,"9201"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000198910.14","protein_coding","L1CAM",NA,"3897"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000137285.11","protein_coding","TUBB2B",NA,"347733"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000123689.6","protein_coding","G0S2",NA,"50486"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000131435.13","protein_coding","PDLIM4",NA,"8572"
"IPRES_Hugo","LEF1_UP.V1_UP","ENSG00000188536.13","protein_coding","HBA2",NA,"3040"
